node_id,similar_node_id,neighbor_rank,feature_distance,feature_similarity,shared_complete_business_count,median_cost_smape_on_shared_business,median_revenue_smape_on_shared_business
ant2171a586345033fbf94aa49603606,ant2d1ad5142295835878e2540d33b07,8,0.0722726583480835,0.9277273416519165,2,1.4621743135496543,1.5792592592592594
ant2597b173fd35b3accb31a66446102,ant2ee7f53073ee935a39f3c4586a704,8,0.0722731351852417,0.9277268648147583,0,,
ant2515f358925a03b7da21b3ef4800c,ant2a577b75331f93131be348262d10a,1,0.07227391004562378,0.9277260899543762,0,,
ant208615a983ec13d07874d29ef9c09,ant2bb8ce7026ebf364a95c779cc2e02,10,0.07227402925491333,0.9277259707450867,0,,
ant2d736e07010803f429a1385473302,ant2a034845e3a1232a7852d6da6cd08,9,0.07227432727813721,0.9277256727218628,0,,
ant213e578bd64c1327c9075aa706d06,ant2b7db45b0e66e3958bdf12fb3f909,1,0.07227468490600586,0.9277253150939941,0,,
ant2f3f34b6644753b1aa1b423174501,ant21e6bbc0856273b9e98386ac8a402,4,0.07227468490600586,0.9277253150939941,0,,
ant260caba5234a33cd49dedad5f6408,ant28db088f702c430ddb8e8d679430b,8,0.07227498292922974,0.9277250170707703,0,,
ant2173e9fdd776e3a3ca28853be4405,ant2ada7062a22f4383b8c3c85723c09,10,0.07227516174316406,0.9277248382568359,2,0.029113694084071096,0.10540129023887017
ant27130356f92e7340baef61412aa07,ant27aa4c125461533ebbe53f7848c05,6,0.07227551937103271,0.9277244806289673,0,,
ant2806b2766c4d038b788440eb20c09,ant2ee7f53073ee935a39f3c4586a704,6,0.07227557897567749,0.9277244210243225,0,,
ant2ef7be54494f23560baaceda84f00,ant2b01099285caf3389ad8bfc47d501,6,0.07227557897567749,0.9277244210243225,1,1.2649903288201159,1.1528878822197055
antb1bd3892d59abde0526ca9a3e2703,antdabf31cd94bc97e50ec931351b703,8,0.0722760558128357,0.9277239441871643,2,1.4088191837989712,1.421002140063464
ant267aee5ded43830eab72ee29bd003,ant296ec3a11111538e2af4a5f2b7500,8,0.07227641344070435,0.9277235865592957,0,,
ant265ba5fe0fe323c039167b83afa06,ant2c8d49fc06c4138668bcb2f2b310a,4,0.0722765326499939,0.9277234673500061,0,,
ant20f4612b8a1fd3939b41483db0d01,ant239b555057ce9356985da20ce3606,5,0.07227659225463867,0.9277234077453613,1,1.3818181818181823,1.18552036199095
ant26c1c009c0a2831f3bcdd6632d905,ant26f11e2edb73230e88d5dbbc0640b,9,0.072276771068573,0.927723228931427,0,,
ant2e94950f284ca3f50aa198a032401,ant2f7ffc72dc5193489b1f12e307a06,3,0.07227736711502075,0.9277226328849792,0,,
ant272c3c6200e703529ac4c23ed1c00,ant202dd9dbc76e93a509f86d1ec7906,6,0.07227754592895508,0.9277224540710449,1,0.09140767824497258,0.15163934426229497
ant2d9993c290ab637c38589930c4203,ant2f153c22cac44378a9be85a916f00,5,0.07227838039398193,0.9277216196060181,0,,
ant27d7d2f191c5f3c94a2ab24e38202,ant2bca1ac42baca3b3d9936e8a9cb06,7,0.07227855920791626,0.9277214407920837,1,1.6039603960396043,1.6875000000000002
ant26293abba32c4352c964df5866508,ant27a359ad91333388490bf88256605,5,0.07227867841720581,0.9277213215827942,1,0.6715867158671587,0.5573770491803277
ant1ef4c67c8208d8efb59e286ae4d04,antce7a5ab9e15900a8c3e14e3819209,2,0.07227885723114014,0.9277211427688599,2,0.7496265531427351,0.6942138043676773
ant2acebbc087b923a99bba3c8cf9504,ant2b29961d70f5e37d7976c28f9b50b,1,0.07227909564971924,0.9277209043502808,1,0.8680688336520076,0.8601472134595162
ant2501265a3265e3570bbb1f73a9009,ant2eb950a4d27fa334a9cbe02e05d09,7,0.07227915525436401,0.927720844745636,0,,
ant2904fc984320f3f60936402da5f03,ant29a585b8531e63b7583a6d49c680b,2,0.07227921485900879,0.9277207851409912,0,,
ant2206f50941f333838b8a717236707,ant290632f4eb3be3f9986e274b03c0a,1,0.07227939367294312,0.9277206063270569,0,,
ant28f5d84ba5c5e38c881cf24fe9007,ant2be2d6d09e65e3e338d5632417905,2,0.07227945327758789,0.9277205467224121,0,,
